band_number,year,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,clutch_size,clutch_number,no_of_young_fledged,number_hatch,location
1881.06971,2010,M,BLU,115,116,53,91,19.5,2010-06-11,SL51,5,1,3,5,SL
1881.06971,2011,M,BLU,117,119,55,91,19.1,2011-06-10,SL61,6,1,6,6,SL
1881.06971,2012,M,BLU,111,119,57,93,20.3,2012-06-03,SL61,7,1,0,7,SL
1881.06986,2011,F,INT,106,108,49,88,20.3,2011-06-17,SL42,7,1,0,4,SL
1881.06986,2012,F,BLU,109,112,50,84,20.5,2012-06-03,SL25,6,1,4,4,SL
1881.06987,2012,F,BLU,120,121,56,95,20.8,2012-05-30,SL60,6,1,5,5,SL
1881.0699,2011,F,BLU,112,114,55,89,19.5,2011-06-13,MC76,5,1,4,4,MC
1921.85074,2010,F,BLU,114,117,54,91,20,2010-06-06,SL72,8,2,7,8,SL
2171.20004,2010,M,BLU,120,121,55,94,18.9,2017-06-01,PT03J,6,1,6,5,PT
2171.20008,2010,M,BLU,124,125,56,97,20.8,2017-06-01,PT08K,5,1,3,3,PT
2171.20008,2010,M,BLU,124,125,56,97,20.8,2017-06-01,PT07K,6,1,4,5,PT
2171.20008,2010,M,BLU,121,123,57,95,21.5,2017-06-01,PT08K,5,1,3,3,PT
2171.20008,2010,M,BLU,121,123,57,95,21.5,2017-06-01,PT07K,6,1,4,5,PT
2171.20008,2011,M,BLU,121,123,57,97,21.84,2011-06-14,PT07K,5,1,5,5,PT
2171.20008,2012,M,BLU,121,125,57,98,21.2,2012-06-02,PT08K,7,1,7,7,PT
2171.2001,2010,F,BLU,112,114,55,88,21.5,2010-06-01,PT15G,5,1,5,5,PT
2171.20012,2010,M,BLU,117,120,55,93,18.5,2019-06-01,PT19E,5,1,5,5,PT
2171.20012,2011,M,BLU,125,127,56,91,19.7,2011-06-20,PT19E,12,1,3,10,PT
2171.20014,2010,M,BLU,118,120,55,93,20.3,2012-06-01,PT16H,4,1,4,4,PT
2171.20014,2011,M,BLU,118,121,53,95,19.8,2011-06-17,PT16H,6,1,3,3,PT
2171.20014,2012,M,BLU,120,122,58,96,21.4,2012-06-02,PT16H,6,1,5,6,PT
2171.20022,2010,M,BLU,114,116,55,90,21.5,2018-06-01,PT14G,6,1,6,6,PT
2171.20024,2010,M,BLU,117,119,58,93,21.5,2017-06-01,PT18E,6,1,4,4,PT
2171.20031,2011,M,BLU,116,118,56,90,20.26,2011-06-14,PT09J,7,1,7,7,PT
2171.20032,2010,M,BLU,119,120,56,93,21.5,2018-06-01,PT19F,5,1,4,4,PT
2171.20032,2012,M,BLU,120,122,55,97,20.88,2012-06-06,PT16I,6,1,5,6,PT
2171.20038,2010,M,BLU,119,121,55,94,21.2,2012-06-01,PT10G,6,1,6,6,PT
2171.20051,2010,M,BLU,120,121,55,95,20.3,2017-06-01,PT14J,6,1,6,5,PT
2171.20052,2010,F,BLU,115,116,52,88,18.5,2013-06-01,PT03J,6,1,6,5,PT
2171.20052,2011,F,BLU,111,113,56,88,16.5,2011-06-16,PT13I,7,1,6,6,PT
2171.20052,2012,F,BLU,112,115,54,90,20.96,2012-06-04,PT13I,8,1,8,8,PT
2171.20057,2011,M,BLU,117,119,56,93,19.5,2011-06-20,PT14J,6,1,6,6,PT
2171.20058,2010,M,BLU,115,116,54,95,19.8,2015-06-01,PT13H,6,1,5,5,PT
2171.20058,2011,M,BLU,116,118,55,91,19,2011-06-16,PT13I,7,1,6,6,PT
2171.20058,2012,M,BLU,116,121,56,95,19.24,2012-06-04,PT13I,8,1,8,8,PT
2171.20058,2012,M,BLU,116,121,56,95,19.24,2012-06-04,PT12I,7,1,5,6,PT
2171.20058,2012,M,BLU,118,121,56,96,19.46,2012-06-04,PT13I,8,1,8,8,PT
2171.20058,2012,M,BLU,118,121,56,96,19.46,2012-06-04,PT12I,7,1,5,6,PT
2171.2006,2010,F,BLU,114,116,46,86,20.5,2013-06-01,PT09J,6,1,6,6,PT
2171.2006,2011,F,INT,106,109,55,83,19.9,2011-06-19,PT07G,6,1,5,6,PT
2171.2006,2012,F,BLU,112,115,53,86,20.3,2012-06-18,PT03F,6,1,2,4,PT
2171.20065,2010,F,BLU,112,112,55,86,19.75,2017-06-01,PT07G,5,1,5,5,PT
2171.20068,2010,F,BLU,117,117,46,91,18.75,2015-06-01,PT14J,6,1,6,5,PT
2171.2007,2012,F,BLU,109,111,52,86,21.41,2012-06-04,PT11G,6,1,6,6,PT
2171.20075,2010,F,BLU,116,118,55,93,19.4,2015-06-01,PT13J,6,1,1,3,PT
2171.20075,2012,F,BLU,116,120,55,91,20.4,2012-05-31,PT03J,5,1,4,4,PT
2171.20076,2010,F,BLU,110,112,55,86,19.75,2020-06-01,PT11J,6,1,4,6,PT
