band_or_recapture,band_number,sex,colour,wing_chord,wing_flat,tail,p_9,weight,date,nest_box,age_code,year
R,2311.93336,M,BLU,114,116,56,93,21.5,2010-06-12,MC70,AHY,2010
R,2311.93479,M,BLU,120,122,56,97,20.5,2010-06-12,MC13,AHY,2010
R,2351.37846,F,BRW,110,111.5,49,89,20.3,2010-06-12,MC11,AHY,2010
R,2311.93478,F,BLU,118,121,57,92,20.25,2010-06-12,MC62,ASY,2010
R,1881.0684,M,BLU,112,114.5,54,92,21,2010-06-12,MC11,AHY,2010
R,1831.3864,M,BLU,115,118.5,54,93,20.8,2010-06-12,MC6,AHY,2010
R,2351.37245,F,BLU,110,111,52,89,19.5,2010-06-24,"NANA",AHY,2010
B,2401.78048,M,BLU,122,124,58,94,21.51,2011-06-12,PT12J,AHY,2011
B,2410.78049,F,INT,113,116,56,89,20.81,2011-06-12,PT12J,AHY,2011
R,1881.06427,F,BLU,110,112,54,83,21.88,2011-06-12,PT7K,ASY,2011
R,1831.38508,F,BLU,111,113,56,85,20.58,2011-06-13,PT1J,ASY,2011
B,2401.7805,F,BLU,115,117,57,94,21.51,2011-06-13,PT11J,ASY,2011
R,2351.37245,F,BLU,115,117,53,91,21.01,2011-06-13,PT10I,ASY,2011
B,2401.78051,M,BLU,117,120,54,93,20.09,2011-06-13,PT11J,AHY,2011
B,2401.78052,F,INT,110,112,52,85,19.54,2011-06-13,PT11K,AHY,2011
R,2351.37008,F,BLU,117,119,55,94,23.62,2011-06-13,PT9G,ASY,2011
B,2401.78053,M,BLU,119,121,54,93,21.92,2011-06-13,PT9H,AHY,2011
R,1881.06429,M,BLU,118,120,56,92,22.48,2011-06-13,PT11K,AHY,2011
R,2311.93613,F,INT,116,118,54,91,19.88,2011-06-13,PT9H,AHY,2011
B,2351.37003,F,BLU,116,118,56,91,23.46,2011-06-13,PT15H,ASY,2011
R,2351.37003,M,BLU,118,120,56,92,20.99,2011-06-13,PT15H,AHY,2011
R,2311.93818,M,BLU,121,123,60,96,21.19,2011-06-13,PT17G,AHY,2011
B,2401.78056,F,BLU,110,112,52,86,22.09,2011-06-13,PT5G,ASY,2011
R,2351.39766,M,BLU,115,117,56,90,20.37,2011-06-13,PT5G,AHY,2011
B,2401.78057,F,BLU,113,115,54,90,20.49,2011-06-13,PT19F,ASY,2011
R,2311.93804,M,BLU,122,125,57,96,22.4,2011-06-13,PT19F,AHY,2011
R,2171.20075,F,BLU,116,118,56,91,21.6,2011-06-14,PT3J,ASY,2011
R,2171.20008,M,BLU,121,123,57,97,21.84,2011-06-14,PT7K,AHY,2011
B,2401.78058,F,INT,116,118,59,92,20.92,2011-06-14,PT3J,AHY,2011
R,2311.93693,F,BLU,113,115,56,90,21.43,2011-06-14,PT8K,ASY,2011
B,2401.78059,F,BLU,116,118,58,91,20.64,2011-06-14,PT5J,ASY,2011
R,2311.93741,M,BLU,122,124,57,96,22.12,2011-06-14,PT8K,AHY,2011
